id;article;name;price;seller;creator;type;discount;count;description;image
1;А112Т4;Сумка через плечо;4990;Стиль-Опт;Herschel;Кожаная;3;6;Деловая папка-портфель с ручкой и ремнем.;1.jpg
2;F635R4;Сумка через плечо;3244;Мода-Дистрибьюшн;Zara;Кожаная;2;13;Сумка-мессенджер с быстродоступным внешним карманом.;2.jpg
3;H782T5;Клатч;4499;Стиль-Опт;Herschel;Замшевая;4;5;Винтажная кожаная сумка с эффектом состаренности.;3.jpg
4;G783F5;Сумка через плечо;5900;Стиль-Опт;Nike;Замшевая;0;8;Сумка-почтальонка с регулируемым длинным ремнем.;4.jpg
5;J384T6;Сумка через плечо;3800;Мода-Дистрибьюшн;Colin's;Замшевая;2;0;Мягкая сумка-хобо из качественной замши.;5.jpg
6;D572U8;Кроссовки;4100;Мода-Дистрибьюшн;Nike;Замшевая;3;6;Сумка-мессенджер с быстродоступным внешним карманом.;6.jpg
7;F572H7;Клатч;2700;Стиль-Опт;Zara;Кожаная;2;14;Женская сумка с несколькими внутренними отделениями.;7.jpg
8;D329H3;Клатч;1890;Мода-Дистрибьюшн;Alessio Nesca;Текстильная ;4;4;Сумка для ноутбука с защитой от ударов.;8.jpg
9;B320R5;Клатч;4300;Стиль-Опт;Colin's;Текстильная ;2;6;Женская сумка с несколькими внутренними отделениями.;9.jpg
10;G432E4;Клатч;2800;Стиль-Опт;Herschel;Кожаная;3;15;Сумка-почтальонка с регулируемым длинным ремнем.;10.jpg
11;S213E3;Сумка через плечо;2156;Мода-Дистрибьюшн;The North Face;Замшевая;3;6;Стильный городской рюкзак с отделением для ноутбука.;
12;E482R4;Сумка через плечо;1800;Стиль-Опт;Herschel;Текстильная ;0;14;Вместительная кожаная сумка через плечо на каждый день.;
13;S634B5;Сумка;5500;Мода-Дистрибьюшн;The North Face;Замшевая;3;0;Элегантный вечерний клатч с металлической застежкой.;
14;K345R4;Сумка через плечо;2100;Мода-Дистрибьюшн;The North Face;Замшевая;2;3;Легкая складная сумка-тоут для покупок.;
15;O754F4;Спортивная сумка;5400;Мода-Дистрибьюшн;Colin's;Кожаная;4;18;Удобная поясная сумка из водонепроницаемого материала.;
16;G531F4;Сумка через плечо;6600;Стиль-Опт;Herschel;Кожаная;12;9;Классический деловой портфель из натуральной кожи.;
17;J542F5;Сумка;500;Стиль-Опт;Herschel;Замшевая;13;0;Прочная дорожная сумка на колесиках с выдвижной ручкой.;
18;B431R5;Сумка через плечо;2700;Мода-Дистрибьюшн;Colin's;Замшевая;2;5;Яркий молодежный рюкзак с двумя внешними карманами.;
19;P764G4;Спортивная сумка;6800;Стиль-Опт;The North Face;Текстильная ;15;15;Небольшая барсетка для документов и денег.;
20;C436G5;Сумка через плечо;10200;Стиль-Опт;Alessio Nesca;Кожаная;15;9;Спортивная сумка с отдельным влажным отсеком.;
21;F427R5;Сумка через плечо;11800;Мода-Дистрибьюшн;Colin's;Кожаная;15;11;Сумка-почтальонка с регулируемым длинным ремнем.;
22;N457T5;Сумка через плечо;4600;Стиль-Опт;The North Face;Текстильная ;3;13;Компактный рюкзак для пеших прогулок и путешествий.;
23;D364R4;Спортивная сумка;12400;Стиль-Опт;Herschel;Кожаная;16;5;Женская сумка с несколькими внутренними отделениями.;
24;S326R5;Сумка;9900;Мода-Дистрибьюшн;The North Face;Замшевая;17;15;Винтажная кожаная сумка с эффектом состаренности.;
25;L754R4;Сумка через плечо;1700;Стиль-Опт;Herschel;Кожаная;2;7;Сумка-косметичка на молнии с прозрачным вкладышем.;
26;M542T5;Кроссовки;2800;Мода-Дистрибьюшн;Colin's;Замшевая;18;3;Минималистичный кожаный кошель на металлической цепочке.;
27;D268G5;Спортивная сумка;4399;Мода-Дистрибьюшн;Colin's;Текстильная ;3;12;Походный рюкзак с системой поддержки спины.;
28;T324F5;Сапоги;4699;Стиль-Опт;The North Face;Кожаная;2;5;Сумка-холодильник для пикников и поездок на природу.;
29;K358H6;Сумка;599;Стиль-Опт;Colin's;Замшевая;20;2;Сумка для ноутбука с защитой от ударов.;
30;H535R5;Сумка через плечо;2300;Мода-Дистрибьюшн;Colin's;Кожаная;2;7;Пляжная сумка из водонепроницаемого полотна.;
